vjdbv1.0_field_id	vjdbv1.0_name	vjdbv1.0_description	vjdbv1.0_fields_type	vjdbv1.0_privacy	vjdbv0.2__field_id	vjdbv0.1_field_id	ena_field_id	rki_field_id	migs-vi_field_id	migs-uvig_field_id	env-o_field_id	ncbi_virus_n_nucleotide_field_id	bv-brc_b_field_name	ena_erc32_field_name	ena_erc33_field_name	img/vr_field_name	phd_field_name	phispy_field_name	gtdb_field_name	ena_submission_object_object_name	vjbd_submission_object_object_name	vjdbv1.0_group1	vjdbv1.0_group2	vjdbv1.0_group3	vjdbv1.0_tags	vjdbv1.0_input_source	vjdbv1.0_notes	vjdbv1.0_changes	vjdbv0.2_previous_changes	ncbi_virus_n_field_name	ncbi_virus_n_field_description	ncbi_virus_n_type	ncbi_virus_n_curation_notes	bv-brc_b_category	bv-brc_b_schema_category	bv-brc_b_field_id	bv-brc_b_field_type	bv-brc_b_type	bv-brc_b_curation_notes	ena_erc32_field_description	ena_erc32_controlled_vocabulary	ena_erc32_field_type	ena_erc33_field_description	ena_erc33_controlled_vocabulary	ena_erc33_field_type	ena_submission_requiredness	vjdb_submission_requiredness	vjdb_example	vjdb_validation_rules	ena_submission_fieldtype	ena_submission_validation	vjdbv1.0_field_index	ictv40_i_field_name	vjdbv1.0_index	vjdbv1.0_search_method	vjdbv1.0_default_search
host_lab_common_name	Lab Host Common Name	BVBRC Lab Host, common name of the lab host.	keyword	private									Lab Host									Host	Host	Host	"[""BV-BRC"", ""Host"", ""Host"", ""Host""]"	BVBRC	"remove? Lab Passage 1 to 1 in public and rest in private for submission, because Lab Passaged is buil on ""/labhost"", to catch this we provide these fields; not sure"	host_lab_common_name						Host Info		lab_host	string_ci		new											suggestion	freetext	0bt		metadata	full fuzzy	
host_lab_ncbi_tax_id	Lab Host NCBI Tax ID	The NCBI Taxonomy ID of the lab host.	keyword	private	host_lab_NCBI_tax_id				specific_host													Host	Identifier		"[""MIGS-VI"", ""Host"", ""Identifier""]"		remove?; not sure	keep internally	Not in VJDB, Completly new due to byCovid																					text	unique	0bu		metadata	exact	
host_lab_scientific_name	Lab Host Species	The scientific species name of the lab host.	keyword	private	host_lab_scientific_name		lab_host		specific_host													Host		Host	"[""ENA"", ""MIGS-VI"", ""Host"", ""Host""]"		remove?; not sure	keep internally	Not in VJDB, Completly new due to byCovid																	optional	optional			suggestion	unique	0bv		metadata	exact fuzzy	
host_natural_scientific_name	Host Species	The scientific species name of the sampled host.	keyword	public	host_natural_scientific_name	host_name?	host scientific name		specific_host				Host Name	host scientific name	host scientific name					ENA Sample	VJDB Sample	Sample		Host	"[""ENA"", ""MIGS-VI"", ""BV-BRC"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Host""]"	BVBRC								Host Info		host_name	string_ci		they are not all scientific names	(Mandatory) Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.			(Mandatory) Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.		TEXT_FIELD	mandatory	mandatory	homo sapiens	Defined by the NCBI Taxonomy(!)	suggestion	unique	0bw		metadata	exact fuzzy	default search
host_ncbi_tax_id	Host NCBI Tax ID	The host sequence NCBI Taxonomy ID. Can be based on the mapping by GTDB of the GTDB Species Name to the NCBI Taxonomy ID.	keyword	public	host_NCBI_tax_id	host_NCBI_tax_id			specific_host							host_ncbi_tax_id	host_ncbi_tax_id	host_ncbi_tax_id		ENA Sample	VJDB Sample	Sample	NCBI Taxonomy	Host	"[""MIGS-VI"", ""IMG/VR"", ""PHD"", ""PhiSpy"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""NCBI Taxonomy"", ""Host""]"	GTDB		keep internally															(Optional) Scientific name of the laboratory host used to propagate the source organism from which the sample was obtained		TEXT_FIELD			9606	Whole number value. Defined by the NCBI Taxonomy	text	unique	0bx		metadata	exact	default search
host_sex	BVBRC Host Sex	Sex of the sampled host from the BV-BRC.	keyword	public	host_sex	host_gender	host sex						Host Gender	host sex	host sex					ENA Sample	VJDB Sample	Sample	Clinical 	Host	"[""ENA"", ""BV-BRC"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Clinical "", ""Host""]"	BVBRC								Host Info		host_gender	string_ci			(Mandatory) Gender or sex of the host.			(Mandatory) Gender or sex of the host.		TEXT_CHOICE_FIELD	mandatory	mandatory	female; hermaphrodite	Defined list of values, provided by the ENA	combo	controlled_vocabulary	0by		metadata	exact	
host_subject_id	Host Subject ID	The unique ID of the sampled host from the BV-BRC.	keyword	internal	host_subject_id		host subject id							host subject id	host subject id					ENA Sample	VJDB Sample	Host	Clinical 		"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Host"", ""ENA Sample"", ""VJDB Sample"", ""Clinical ""]"		not sure	keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) A unique identifier by which each subject can be referred to, de-identified, e.g. #131			(Mandatory) A unique identifier by which each subject can be referred to, de-identified, e.g. #131		TEXT_FIELD	mandatory	mandatory			suggestion	freetext	0bz		metadata	exact	
influenza_test_method	Influenza Test Method	Method used to assess if a sample is flu positive/negative. Multiple methods are seperated by semicolon(s).	keyword	internal	influenza_test_method		influenza test method							influenza test method						ENA Sample	VJDB Sample	Sample	Clinical 		"[""ENA"", ""ENA ERC32"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Clinical ""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Method by which the current assessment of a sample as flu positive/negative is made. if multiple test were performed, please state them separated by semicolon. example: rt-pcr; antigen elisa						mandatory	mandatory	"""RT-PCR; antigen ELISA"""	Free text (Methods) seperated by semicolon, no quotes	suggestion	unique	0ca		metadata	full fuzzy	
influenza_test_result	Influenza Test Result	Result of the given methods. Positive(P) or Negative(N). For multiple test the results are delimited by semicolon, e.g. P; P.	keyword	internal	influenza_test_result		influenza test result							influenza test result						ENA Sample	VJDB Sample	Sample	Clinical 		"[""ENA"", ""ENA ERC32"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Clinical ""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Classification of a sample as flu positive or negative based on the test performed and reported. if multiple tests were performed, please state the results in the same order in which you reported the tests in the field 'influenza test method'. format: p(ositive)/n(egative). example: p; p						mandatory	mandatory	"""P;P""; ""N""; ""N;P"""	P(positive)/N(negative) divided by semicolons matching the number and place of the corresponding test method, no quotes.	suggestion	unique	0cb		metadata	exact	
influenza_virus_type	Influenza Virus Type	Influenza virus type classification: A, B or C.	keyword	internal	influenza_virus_type	variant	influenza virus type							influenza virus type						ENA Sample	VJDB Sample	Sample	Clinical 		"[""ENA"", ""ENA ERC32"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Clinical ""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Recommended) One of the three influenza virus classification types.						recommended	recommended	A; B; C	Defined list of values, provided by the ENA	combo	controlled_vocabulary	0cc		metadata	exact fuzzy	
is_bvbrc	BV-BRC Sequence	Flag indicating if this virus sequence is available in BV-BRC.	boolean	public																		Workflows	Flag		"[""Workflows"", ""Flag""]"	VJDB		add is_bvbrc																				true	boolean value(!)			0cd		metadata	exact	
other_pathogens_test_result	Other Pathogens Test Result	The test result for other tested pathogens given as described by influenza test result.	keyword	internal	other_pathogens_test_result		other pathogens test result							other pathogens test result						ENA Sample	VJDB Sample	Sample	Clinical 		"[""ENA"", ""ENA ERC32"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Clinical ""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Classification of a sample as positive or negative based on the test performed and reported. if tests for multiple pathogenic organisms were performed, please state the results in the same order in which you reported the tests in the field 'other pathogens tested'. format: p(ositive)/n(egative)/not applicable. example: n						mandatory	mandatory	Newcastle; none	Free text (Methods) seperated by semicolon, no quotes. See also Influenza Test Method	suggestion	unique	0ce		metadata	full fuzzy	
other_pathogens_tested	Other Pathogens Tested	Was the sample tested for other pathogens? Insert the pathogenic organisms using semicolon as a delimiter, e.g. Newcastle. “None” is also valid.	keyword	internal	other_pathogens_tested		other pathogens tested							other pathogens tested						ENA Sample	VJDB Sample	Sample	Clinical 		"[""ENA"", ""ENA ERC32"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Clinical ""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Classification of pathogenic organisms other than influenza virus tested in the current assessment of a sample. if multiple tests were performed, please state them separated by semicolon. if no other pathogens test was performed, please state 'none'. example: newcastle						mandatory	mandatory	"""P;P""; N; ""N;not applicable"""	P(positive)/N(negative)/not applicable divided by semicolons matching the number and place of the corresponding test method, no quotes.	suggestion	unique	0cf		metadata	exact	
pangolin_lineage	Pangolin Lineage	Lineage determined by Pangolin.	keyword	public	pangolin_lineage			PANGOLIN. LINEAGE_LATEST					Lineage									Analysis			"[""RKI"", ""BV-BRC"", ""Analysis""]"	NCBI Virus|BVBRC	depends on how to treat RKI data, they have pangolin leange in json format that includes version and also method information, we could either include that (bad readabiliy, or splt the relevant information for these fields)		Not in VJDB, Completly new due to byCovid					Type Info		lineage	string													suggestion	freetext	0cg		metadata	full	
pangolin_version	Pangolin Version	Pangolin version used to determine the lineage.	float	internal	pangolin_version			PANGOLIN. PANGOLIN_VERSION _LATEST														Analysis		Workflows	"[""RKI"", ""Analysis"", ""Workflows""]"			keep internally	Not in VJDB, Completly new due to byCovid																					suggestion	freetext	0ch		metadata	exact	
receipt_date	Receipt Date	If the sample was only received and not collected provide the receipt date.	date	internal	receipt_date		receipt date							receipt date	receipt date					ENA Sample	VJDB Sample	Sample	Clinical 		"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Clinical ""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Recommended) Date on which the sample was received. format:yyyy-mm-dd. please provide the highest precision possible. if the sample was received by the institution and not collected, the 'receipt date' must be provided instead. either the 'collection date' or 'receipt date' must be provided. if available, provide both dates.			(Recommended) Date on which the sample was received. format:yyyy-mm-dd. please provide the highest precision possible. if the sample was received by the institution and not collected, the 'receipt date' must be provided instead. either the 'collection date' or 'receipt date' must be provided. if available, provide both dates.		TEXT_FIELD	recommended	recommended	2023-05-20	YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)	date	freetext	0ci		metadata	range	
rki_sequence_id	RKI Accession	RKI Accession of the virus sequence.	keyword	internal	rki_sequence_id			SEQUENCE.ID														Organizational	Identifier		"[""RKI"", ""Organizational"", ""Identifier""]"		no example needed	remove	Not in VJDB, Completly new due to byCovid																					text	freetext	0cj		metadata	exact	
run_accession_id	Run Accession	References a ENA assembly to an ENA Run object.	keyword	internal	run_accession_id		run ref															Organizational	Identifier		"[""ENA"", ""Organizational"", ""Identifier""]"		no example needed	keep internally	Not in VJDB, Completly new due to byCovid																	recommended	recommended			text	unique	0ck		metadata	exact	
sample_ncbi_tax_id	NCBI SpeciesTax ID	The virus species NCBI Taxonomy ID.	keyword	public	sample_NCBI_tax_id	NCBI_txid	tax_id		samp_taxon_id				NCBI Taxon ID	taxon_id	taxon_id	sample_ncbi_tax_id	sample_ncbi_tax_id	sample_ncbi_tax_id	ncbi_tax_id	ENA Sample	VJDB Sample	Sample	NCBI Taxonomy	Virus	"[""ENA"", ""MIGS-VI"", ""BV-BRC"", ""ENA ERC32"", ""ENA ERC33"", ""IMG/VR"", ""PHD"", ""PhiSpy"", ""GTDB"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""NCBI Taxonomy"", ""Virus""]"	BVBRC	Taxonomy Descision; 							Taxonomy Info	Taxonomy	taxon_id	int			(Mandatory) Ncbi taxonomy identifier. this is appropriate for individual organisms and some environmental samples.			(Mandatory) Ncbi taxonomy identifier. this is appropriate for individual organisms and some environmental samples.		TEXT_FIELD	mandatory	mandatory	197911	Whole number value. Defined by the NCBI Taxonomy	suggestion	unique	0cl		metadata	exact	default search
sample_serotype	Serotype	Serological variety of a species characterised by its antigenic properties, e.g. H1N1.	keyword	internal	sample_serotype	variant	serotype		subspecf_gen_lin; broad field					serotype (required for a seropositive sample)	serotype (required for a seropositive sample)					ENA Sample	VJDB Sample	Sample	Clinical		"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Clinical""]"		NCBI Virus has genotype, which includes Serotype, otherwise we have no valid informational source -> internal for now; 	keep internally	Not in VJDB, Completly new due to byCovid											(Recommended) Serological variety of a species characterised by its antigenic properties. for influenza, ha subtype should be the letter h followed by a number between 1-16 unless novel subtype is identified and the na subtype should be the letter n followed by a number between 1-9 unless novel subtype is identified. if only one of the subtypes have been tested then use the format h5nx or hxn1. example: h1n1			(Recommended) Serological variety of a species characterised by its antigenic properties. for influenza, ha subtype should be the letter h followed by a number between 1-16 unless novel subtype is identified and the na subtype should be the letter n followed by a number between 1-9 unless novel subtype is identified. if only one of the subtypes have been tested then use the format h5nx or hxn1. example: h1n1		TEXT_FIELD	recommended	recommended	H1N1	Free text	suggestion	freetext	0cm		metadata	full fuzzy	
sample_species_name_abbreviation	Abbreviation	Common abbreviations of the virus species name.	keyword	internal	sample_species_name_abbreviation	abbreviation																Sample	Virus Info	ICTV Taxonomy	"[""Sample"", ""Virus Info"", ""ICTV Taxonomy""]"	ICTV		tbd																				HPV	Free text, common virus name abbreviations were collected by the ICTV	suggestion	freetext	0cn	Virus name abbreviation(s)	metadata | taxonomy	exact	default search
sample_species_tax_id	Sample Species Tax ID	Temporary NCBI Tax ID used for mapping the taxonomy tree to the metadata table.	keyword	internal	sample_species_tax_id	tree_rank_txid																Sample	Identifier	NCBI Taxonomy	"[""Sample"", ""Identifier"", ""NCBI Taxonomy""]"	NCBI Taxonomy	No mapping, seems to  be NCBI Tax ID; not sure	tbd																						suggestion	freetext	0co		metadata	no search	
sequence_average_depth_coverage	Average Depth	Average sequencing depth across the sequence from BVBRC.	float	public	sequence_average_depth_coverage		sequence_coverage						Sequencing Depth									Analysis	Sequence		"[""ENA"", ""BV-BRC"", ""Analysis"", ""Sequence""]"	BVBRC			Not in VJDB, Completly new due to byCovid					Sequence Info		sequencing_depth	string_ci		average							mandatory	mandatory	12.0x	Decimal number value followed by an x(!)	text	unique	0cp		metadata	range	
sequence_gc_content	GC Content	Percentage of G and C nucleotides in the sequence from BVBRC.	float	public	sequence_gc_content	sequence_gc_content							GC Content									Analysis	Sequence		"[""BV-BRC"", ""Analysis"", ""Sequence""]"	BVBRC								Genome Statistics	Genome Statistics	gc_content	float											37.355248	Decimal number value, describes a percentage(!)	text	freetext	0cq		metadata	range	
sequence_length_coverage	Length Coverage	Percentage of Ns within the whole sequence from BVBRC.	float		sequence_length_coverage				compl_score; only half of the definition is used													Internal	Sequence		"[""MIGS-VI"", ""Internal"", ""Sequence""]"	no source	not sure	remove; change the name and id: sequence_perc_N																						text	freetext	0cr		metadata	range	
sequence_name	Sequence Name	Generic name of the sequence (Name of the entry).	keyword	internal	sequence_name	sample_name			assembly_name				Genome Name									Analysis		Workflows	"[""MIGS-VI"", ""BV-BRC"", ""Analysis"", ""Workflows""]"	BVBRC	no example needed	change to BVBRC_genome_name						General Info		genome_name	string_ci		change name; keep private; compare to Organism Name from NCBI Virus											text	freetext	0cs		metadata	full	default search
sequence_number_of_contigs	Number of Contigs	Number of contigs in the sequence.	integer		sequence_number_of_contigs	number_of_contigs			number_contig													Internal	Sequence		"[""MIGS-VI"", ""Internal"", ""Sequence""]"	no source		remove																				1;13	Whole number value(!)	text	freetext	0ct		metadata	range	
sequence_publication_doi	Publication DOI	The DOI of the publication associated with the sequence.	keyword	internal	sequence_publication_doi	publication_doi			associated_resource													Organizational	Identifier		"[""MIGS-VI"", ""Organizational"", ""Identifier""]"	no source	needs curation before public; 	remove	Not public in VJDB, but is already in database																			10.1000/182		text	freetext	0cu		metadata	exact	
sequence_pubmed_id	Pubmed Accession	The PubMed ID of publication associated with the sequence.	keyword	internal	sequence_pubmed_id	pmid			associated_resource				Publication									Organizational	Identifier		"[""MIGS-VI"", ""BV-BRC"", ""Organizational"", ""Identifier""]"	BVBRC	needs curation before public; no example needed							DB Cross Reference		publication	string		multiple; to curate (compare with the number of pubs with ncbi virus)											text	freetext	0cv		metadata	exact	
sequence_update_date	Update Date	Last update date of the sequence in BVBRC (whole entry).	date	internal	sequence_update_date	update_date							Date Modified									Organizational		Workflows	"[""BV-BRC"", ""Organizational"", ""Workflows""]"	BVBRC		update definition: last update date of the record in bvbrc)	Not public in VJDB, but is already in database					Additional Info		date_modified	pdate											2023-05-20	YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)	date	freetext	0cw		metadata	range	
sequence_version	Sequence Version	Version of the sequence (whole entry).	float		sequence_version	sample_version		SEQUENCE.VERSION														Internal	Sequence		"[""RKI"", ""Internal"", ""Sequence""]"	no source	not sure	remove	Not public in VJDB, but is already in database																					text	freetext	0cx		metadata	exact	
sequencing_center	Sequencing Center	Institution that sequenced the collected sample.	keyword	public	sequencing_center	sequencing_center							Sequencing Center									Experiment	Sequence		"[""BV-BRC"", ""Experiment"", ""Sequence""]"	BVBRC								Sequence Info		sequencing_centers	string_ci											US Food and Drug Administration	Free text	text	freetext	0cy		metadata	full fuzzy	
sequencing_insert_size	Insert Size	Insert size for paired reads.	integer	internal	sequencing_insert_size		insert size							insert_size	insert_size					ENA Experiment	VJDB Experiment	Analysis		Workflows	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Analysis"", ""ENA Experiment"", ""VJDB Experiment"", ""Workflows""]"		not sure	keep internally	Not in VJDB, Completly new due to byCovid											(Optional) Insert size for paired reads			(Optional) Insert size for paired reads		TEXT_FIELD	optional	optional			text	freetext	0cz		metadata	range	
sequencing_instrument	Instrument	Instrument model used for sequencing.	keyword	internal	sequencing_instrument		instrument model		seq_meth					instrument_model	instrument_model					ENA Experiment	VJDB Experiment	Analysis		Workflows	"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""Analysis"", ""ENA Experiment"", ""VJDB Experiment"", ""Workflows""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Model of the sequencing instrument.			(Mandatory) Model of the sequencing instrument.		TEXT_CHOICE_FIELD	mandatory	mandatory	AB 310 Genetic Analyzer	Defined list of values, provided by the ENA	combo	controlled_vocabulary	0da		metadata	exact fuzzy	
sequencing_library_construction_protocol	Library Construction Protocol	The protocol used to construct the sequencing library.	keyword	internal	sequencing_library_construction_protocol		library construction protocol							library_construction_protocol	library_construction_protocol					ENA Experiment	VJDB Experiment	Analysis		Workflows	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Analysis"", ""ENA Experiment"", ""VJDB Experiment"", ""Workflows""]"		not sure	keep internally	Not in VJDB, Completly new due to byCovid											(Optional) Free form text describing the protocol by which the sequencing library was constructed.			(Optional) Free form text describing the protocol by which the sequencing library was constructed.		TEXT_FIELD	optional	optional		Free text	text	freetext	0db		metadata	full fuzzy	
sequencing_library_description	Library Description	The design of the sequencing library including details of how it was constructed.	keyword	internal	sequencing_library_description		design_description							design_description	design_description					ENA Experiment	VJDB Experiment	Analysis		Workflows	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Analysis"", ""ENA Experiment"", ""VJDB Experiment"", ""Workflows""]"		not sure	keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Goal and setup of the individual library including library was constructed.			(Optional) Goal and setup of the individual library including library was constructed.		TEXT_AREA_FIELD	optional	optional		Free text	text	freetext	0dc		metadata	full fuzzy	
sequencing_library_layout	Library Layout	The sequencing library layout specifies whether to expect single or paired configuration of reads.	keyword	internal	sequencing_library_layout		library_layout		lib_layout					library_layout	library_layout					ENA Experiment	VJDB Experiment	Analysis		Workflows	"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""Analysis"", ""ENA Experiment"", ""VJDB Experiment"", ""Workflows""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Library_layout specifies whether to expect single, paired, or other configuration of reads. in the case of paired reads, information about the relative distance and orientation is specified.			(Mandatory) Library_layout specifies whether to expect single, paired, or other configuration of reads. in the case of paired reads, information about the relative distance and orientation is specified.		TEXT_FIELD	mandatory	mandatory	SINGLE	Defined list of values, provided by the ENA	combo	controlled_vocabulary	0dd		metadata	exact fuzzy	
sequencing_library_name	Library Name	The name for the sequencing library if any.	keyword	internal	sequencing_library_name		library name							library_name	library_name					ENA Experiment	VJDB Experiment	Analysis		Workflows	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Analysis"", ""ENA Experiment"", ""VJDB Experiment"", ""Workflows""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Optional) The submitter's name for this library.			(Optional) The submitter's name for this library.		TEXT_FIELD	mandatory	mandatory	1111898265709	Free text	suggestion	freetext	0de		metadata	full fuzzy	
sequencing_library_selection	Library Selection	The method used to select for or against, enrich, or screen the material being sequenced.	keyword	internal	sequencing_library_selection		library selection		lib_screen					library_selection	library_selection					ENA Experiment	VJDB Experiment	Analysis		Workflows	"[""ENA"", ""MIGS-VI"", ""ENA ERC32"", ""ENA ERC33"", ""Analysis"", ""ENA Experiment"", ""VJDB Experiment"", ""Workflows""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Method used to enrich the target in the sequence library preparation			(Mandatory) Method used to enrich the target in the sequence library preparation		TEXT_CHOICE_FIELD	mandatory	mandatory	unspecified; RANDOM	Defined list of values, provided by the ENA	combo	controlled_vocabulary	0df		metadata	exact fuzzy	
sequencing_library_source	Library Source	The library source specifies the type of source material that is being sequenced.	keyword	internal	sequencing_library_source		library source							library_source	library_source					ENA Experiment	VJDB Experiment	Analysis		Workflows	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Analysis"", ""ENA Experiment"", ""VJDB Experiment"", ""Workflows""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) The library_source specifies the type of source material that is being sequenced.			(Mandatory) The library_source specifies the type of source material that is being sequenced.		TEXT_CHOICE_FIELD	mandatory	mandatory	VIRAL RNA	Defined list of values, provided by the ENA	combo	controlled_vocabulary	0dg		metadata	exact fuzzy	
sequencing_library_strategy	Library Strategy	The sequencing technique intended for this sequencing library.	keyword	internal	sequencing_library_strategy	strategy?	library strategy							library_strategy	library_strategy					ENA Experiment	VJDB Experiment	Analysis		Workflows	"[""ENA"", ""ENA ERC32"", ""ENA ERC33"", ""Analysis"", ""ENA Experiment"", ""VJDB Experiment"", ""Workflows""]"			keep internally	Not in VJDB, Completly new due to byCovid											(Mandatory) Sequencing technique intended for this library.			(Mandatory) Sequencing technique intended for this library.		TEXT_CHOICE_FIELD	mandatory	mandatory	AMPLICON	Defined list of values, provided by the ENA	combo	controlled_vocabulary	0dh		metadata	exact fuzzy	
sequencing_platform	Platform	Instrument platform used for sequencing the virus; multiple values are seperated by a semicolon (only for assemblies).	keyword	public	sequencing_platform		instrument platform	SEQUENCE. SEQUENCING_METHOD					Sequencing Platform	platform	platform					ENA Experiment	VJDB Experiment	Experiment	Sequence		"[""ENA"", ""RKI"", ""BV-BRC"", ""ENA ERC32"", ""ENA ERC33"", ""Experiment"", ""ENA Experiment"", ""VJDB Experiment"", ""Sequence""]"	BVBRC			Not in VJDB, Completly new due to byCovid					Sequence Info		sequencing_platform	string_ci			(Mandatory) The platform record selects which sequencing platform and platform-specific runtime parameters. this will be determined by the center. optional if 'instrument_model' is provided.			(Mandatory) The platform record selects which sequencing platform and platform-specific runtime parameters. this will be determined by the center. optional if 'instrument_model' is provided.		TEXT_CHOICE_FIELD	mandatory	mandatory	CAPILLARY	Defined list of values, provided by the ENA	combo	controlled_vocabulary	0di		metadata	exact fuzzy	
sequencing_reason	Sequencing Reason	Why was the collected sample sequenced?	keyword		sequencing_reason		sample capture status	SEQUENCE. SEQUENCING_REASON; different vocabulary														Internal		Workflows	"[""ENA"", ""RKI"", ""Internal"", ""Workflows""]"	no source	not sure	remove	Not in VJDB, Completly new due to byCovid																	recommended	recommended			combo	controlled_vocabulary	0dj		metadata	exact fuzzy	
source_metadata_db	Sequence Source	The name of the source database or tool by which the virus sequence was added in VirJenDB; in the case of PhiSpy-predicted prophages, the value is PhiSpy.	keyword	public	source_database_name	db_name																Workflows			"[""Workflows""]"	VJDB	not sure	change id and name to source_metadata_db, update definition																						combo	controlled_vocabulary	0dk		metadata	exact fuzzy	
submitter_country	Submitter Country	Country of the submitter's organization.	keyword	public	submitter_country							Org_location									VJDB Study	Study			"[""NCBI Virus"", ""Study"", ""VJDB Study""]"	NCBI Virus																					mandatory	Germany	Defined list of countries, provided by the INSDC	combo	controlled_vocabulary	0dl		metadata	exact fuzzy	
submitter_region	Submitter Region	Region or location of the organization of the submitters.	keyword	public																		Study			"[""Study""]"	NCBI Virus	not sure	split organization to submitter_region					may need to split Organization to submitter_region																	combo	controlled_vocabulary	0dm		metadata	exact fuzzy	
virjen_id	VirJenDB Accession	Unique identifier of the virus sequence, assigned by VirJenDB.	keyword	public	virjen_id	vj_id, sample id																Workflows	Identifier		"[""Workflows"", ""Identifier""]"	VJDB																						10580360	Whole number value	text	unique	0dn		metadata | sequence	exact	default search
virjen_version	VirJenDB Metadata Version	Version of the virus sequence record, including metadata, assigned by VirJenDB.	integer	public																		Workflows			"[""Workflows""]"	VJDB																								text	freetext	0do		metadata	exact	
virus_id	Virus ID	Unique ID given by the investigator as strain might not be unique.	keyword	internal	virus_id	wetlab_id?	virus identifier	SEQUENCE. SEQUENCING_ LAB_SAMPLE_ID maybe						virus identifier	virus identifier					ENA Sample	VJDB Sample	Sample	Clinical 		"[""ENA"", ""RKI"", ""ENA ERC32"", ""ENA ERC33"", ""Sample"", ""ENA Sample"", ""VJDB Sample"", ""Clinical ""]"		not sure	keep internally	Not in VJDB, Completly new due to byCovid											(Recommended) Unique laboratory identifier assigned to the virus by the investigator. strain name is not sufficient since it might not be unique due to various passsages of the same virus. format: up to 50 alphanumeric characters			(Recommended) Unique laboratory identifier assigned to the virus by the investigator. strain name is not sufficient since it might not be unique due to various passsages of the same virus. format: up to 50 alphanumeric characters		TEXT_FIELD	recommended	recommended			text	unique	0dp		metadata	exact	
antiviral_treatment	Antiviral Treatment	Antiviral treatment used for this subject, such as zanamavir oseltamivir, amantadine.	keyword	internal										antiviral treatment						ENA Sample	VJDB Sample	Host	Clinical 		"[""ENA ERC32"", ""Host"", ""ENA Sample"", ""VJDB Sample"", ""Clinical ""]"															(Optional) Antiviral treatment used for this subject, such as zanamavir oseltamivir, amantadine. example: rimantadine						optional	optional	rimantadine; amantadine	Free text	text	freetext	0dq		metadata	full fuzzy	
antiviral_treatment_dosage	Antiviral Treatment Dosage	Dosage of the treatment taken by the subject. example: 0.05 mg.	keyword	internal										antiviral treatment dosage						ENA Sample	VJDB Sample	Host	Clinical 		"[""ENA ERC32"", ""Host"", ""ENA Sample"", ""VJDB Sample"", ""Clinical ""]"															(Optional) Dosage of the treatment taken by the subject. example: 0.05 mg						optional	optional	0.05 mg	Decimal number value followed by an empty space and the unit(!)	text	freetext	0dr		metadata	full	
antiviral_treatment_duration	Antiviral Treatment Duration	Duration of antiviral treatment after onset of clinical symptoms in days.example: 5.	keyword	internal										antiviral treatment duration						ENA Sample	VJDB Sample	Host	Clinical 		"[""ENA ERC32"", ""Host"", ""ENA Sample"", ""VJDB Sample"", ""Clinical ""]"															(Optional) Duration of antiviral treatment after onset of clinical symptoms in days.example: 5						optional	optional	5	Decimal number value(!)	text	unique	0ds		metadata	range	
